time, Susceptible, Exposed, Infected, Hospitalized, Recovered, Death
74,89737782.30904038,6070431.522986263,7134333.738582222,7658978.48493267,66809834.226894006,28728228.717564426
75,88849378.26418088,6010330.642379159,7063648.129965651,7582935.095670473,67575732.07538727,29057564.79241653
76,87969769.4193655,5950825.324322807,6993669.702842302,7507667.966984688,68334025.58495432,29383631.00153036
77,87098868.70211378,5891909.584649086,6924390.487933125,7433167.119540492,69084792.38165279,29706460.7241107
78,86236589.90196285,5833577.512198593,6855802.719401241,7359422.862579505,69828109.09360683,30026086.910250943
79,85382847.6619334,5775823.265946995,6787898.81719638,7286425.781716527,70564051.37986478,30342542.09334186
80,84537557.47008027,5718641.072495917,6720671.371472544,7214166.725959118,71292693.95803644,30655858.40195567
81,83700635.65112647,5662025.223872225,6654113.128839668,7142636.794357328,72014110.63063236,30966067.571171913
82,82871999.35818033,5605970.075588342,6588216.980235465,7071827.3225984685,72728374.31006809,31273200.95332928
83,82051566.56453435,5550470.044923648,6522975.950226791,7001729.869786239,73435557.04232793,31577289.528201014
84,81239256.05554546,5495519.6093932185,6458383.187570855,6932336.205582063,74135730.02930655,31878363.91260182
85,80434987.42059557,5441113.305375428,6394431.956885566,6863638.297836807,74828963.64986475,32176454.36944185
86,79638681.04513167,5387245.726874413,6331115.631295396,6795628.300801224,75515327.47964843,32471590.81624883
87,78850258.10278487,5333911.524397089,6268427.685934466,6728298.543971705,76194890.30972855,32763802.833183285
88,78069640.54756731,5281105.403927614,6206361.692202302,6661641.521602961,76867720.16412573,33053119.67057407
89,77296751.1061464,5228822.12598484,6144911.312679948,6595649.882899781,77533884.31628603,33339570.256002996
90,76531513.27019554,5177056.504750558,6084070.296625087,6530316.422885105,78193449.30457601,33623183.200967684
91,75773851.28882061,5125803.407258219,6023832.475974492,6465634.073930404,78846480.94686452,33903986.80715174
92,75023690.16106129,5075057.752633446,5964191.761790805,6401595.897926141,79493044.35425755,34182009.07233075
93,74280955.62846678,5024814.5113789765,5905142.141098237,6338195.079064246,80133203.94405016,34457277.695941575
94,73545574.16774496,4975068.704697832,5846677.674058597,6275424.917200664,80767023.45195659,34729820.08434134
95,72817472.98348428,4925815.403849471,5788792.491444976,6213278.821763625,81394565.94367665,34999663.35578097
96,72096580.00094779,4877049.729534486,5731480.792375745,6151750.306172138,82015893.82585302,35266834.3451168
97,71382823.85893841,4828766.851304106,5674736.842276117,6090832.982728914,82631068.85647023,35531359.6082822
98,70676133.90273492,4780961.98699133,5618554.971038653,6030520.557952411,83240152.15474312,35793265.42653955
99,69976440.17709784,4733630.402161011,5562929.571357669,5970806.828313595,83843204.21053836,36052577.810531504
100,69283673.41934457,4686767.409576621,5507855.09721566,5911685.676344418,84440284.89336972,36309322.50414899
101,68597765.05249307,4640368.368681785,5453326.062502627,5853151.067086546,85031453.46100417,36563524.9882318
102,67918647.17847338,4594428.685094937,5399337.039751638,5795197.0448506875,85616768.56771283,36815210.484116524
103,67246252.5714065,4548943.81011574,5345882.658976059,5737817.730258701,86196288.2721979,37064403.9570451
104,66580514.67094957,4503909.24024208,5292957.606595778,5681007.3175425725,86770070.04522377,37311130.119446225
105,65921367.57570717,4459320.516696655,5240556.624441349,5624760.072076239,87338170.77697803,37555413.43410055
