time, Susceptible, Socially_distanced, Exposed, Infectious, J, Q, Recovered, R0
61,5.021485430369122e-11,185206049.11013284,469.9542458616472,782.755033978842,569.1394676780985,1461866.2866874791,153141003.61456516,1.0842021724855044e-18
62,2.5047400315010974e-11,185206049.11013284,396.52389494576494,660.4966264000138,480.25849233375976,1385210.52554303,153217943.94544345,5.421010862427522e-19
63,1.2493758495168923e-11,185206049.11013284,334.56703636048917,557.3293283852861,405.25340276688337,1312544.8376553531,153290849.7625773,2.710505431213761e-19
64,6.2319442086793366e-12,185206049.11013284,282.29093692916274,470.273095720291,341.9590334797632,1243666.157111718,153359931.0698223,1.3552527156068805e-19
65,3.108522438232613e-12,185206049.11013284,238.18297803398107,396.81278068539996,288.54779066995434,1178381.0230962622,153425387.1833545,6.776263578034403e-20
66,1.5505452913936431e-12,185206049.11013284,200.96688771617153,334.8256758318595,243.47709050632716,1116505.2431444256,153487407.23720166,3.3881317890172014e-20
67,7.734191238554897e-13,185206049.11013284,169.56581151051972,282.5203330795464,205.44496421112845,1057863.5478399722,153546170.67105135,1.6940658945086007e-20
68,3.8578501670708797e-13,185206049.11013284,143.071153462001,238.3849078581785,173.3525653754508,1002289.241488395,153601847.69988504,8.470329472543003e-21
69,1.9243134094457233e-13,185206049.11013284,120.71628573356335,201.14354862207153,146.27250965227003,949623.8524295883,153654599.76522654,4.235164736271502e-21
70,9.598563804732102e-14,185206049.11013284,101.85436608769407,169.71958111242293,123.4221419816529,899716.7859249625,153704579.967986,2.117582368135751e-21
71,4.7878077791938743e-14,185206049.11013284,85.93962138649188,143.2044305355194,104.14096626893217,852424.981947271,153751933.48303467,1.0587911840678754e-21
72,2.388180544177689e-14,185206049.11013284,72.51155554485253,120.83138874327891,87.87159076834594,807612.5796963386,153796797.95576873,5.293955920339377e-22
73,1.1912354410663344e-14,185206049.11013284,61.18162499096932,101.95347211134239,74.14364256999269,765150.5902445471,153839303.8810159,2.6469779601696886e-22
74,5.941937176869165e-15,185206049.11013284,51.621996086130366,86.02473298834575,62.560189312831945,724916.5783687506,153879574.96471298,1.3234889800848443e-22
75,2.9638655967333532e-15,185206049.11013284,43.5560591976725,72.58448662971718,52.78627790350241,686794.3543387359,153917728.46883765,6.617444900424221e-23
76,1.4783897934323415e-15,185206049.11013284,36.75042494803617,61.24399922192421,44.5392606091805,650673.6761967016,153953875.54011863,3.3087224502121107e-23
77,7.374276295571017e-16,185206049.11013284,31.008171049905517,51.67525331457381,37.580630110071304,616449.962869285,153988121.52307636,1.6543612251060553e-23
78,3.678322937901783e-16,185206049.11013284,26.16314432335778,43.60146671247809,31.709128383679104,584024.018296483,154020566.25796422,8.271806125530277e-24
79,1.8347644017109237e-16,185206049.11013284,22.075153022833128,36.789091334883224,26.754930869959075,553301.7666345441,154051304.36419034,4.1359030627651384e-24
80,9.151889234896566e-17,185206049.11013284,18.62591036301545,31.041061160980092,22.574738268700344,524193.9984876347,154080425.5098027,2.0679515313825692e-24
81,4.565004449056888e-17,185206049.11013284,15.715611868794285,26.191094364956236,19.047634424595195,496616.1280416304,154108014.66761783,1.0339757656912846e-24
82,2.2770452182100414e-17,185206049.11013284,13.260047514295177,22.098885128216285,16.071590803536658,470487.9609092832,154134152.3585674,5.169878828456423e-25
83,1.1358006292511725e-17,185206049.11013284,11.188165090186555,18.646046270270837,13.5605166838224,445733.47244630166,154158914.88282576,2.5849394142282115e-25
84,5.6654257855337935e-18,185206049.11013284,9.440014294844906,15.732685498044777,11.441769909478909,422280.59626010136,154182374.5392703,1.2924697071141057e-25
85,2.8259404427828697e-18,185206049.11013284,7.965012061275389,13.2745163571031,9.654056329250649,400061.02260505076,154204599.83381033,6.462348535570529e-26
86,1.4095920921861321e-18,185206049.11013284,6.72047892670111,11.200420402401605,8.1456572539011,379010.0063382127,154225655.67710534,3.2311742677852644e-26
87,7.031110197060667e-19,185206049.11013284,5.670404094404061,9.450390134098251,6.872933727550951,359066.1840964074,154245603.57217577,1.6155871338926322e-26
88,3.507150109400767e-19,185206049.11013284,4.784403454653426,7.973793240324323,5.799064397300038,340171.4003476708,154264501.79239136,8.077935669463161e-27
89,1.749382607459606e-19,185206049.11013284,4.036840414863828,6.72790797003284,4.8929805087311,322270.5419668341,154282405.55030438,4.0389678347315804e-27
90,8.726000917608458e-20,185206049.11013284,3.406084100041355,5.676687292347103,4.128467246873759,305311.3809851498,154299367.15777633,2.0194839173657902e-27
91,4.35256939730732e-20,185206049.11013284,2.8738834594098934,4.789716109891789,3.4834054465236557,289244.42516692326,154315436.17782816,1.0097419586828951e-27
92,2.1710816371961188e-20,185206049.11013284,2.4248391688770976,4.041331372951638,2.9391317507347754,274022.7760713874,154330659.56862643,5.048709793414476e-28
93,1.0829455076089551e-20,185206049.11013284,2.0459580487400513,3.409879649850775,2.4798987186052974,259601.99426508448,154345081.81999862,2.524354896707238e-28
94,5.4017820074468185e-21,185206049.11013284,1.7262771036244182,2.8770906825037144,2.0924192717653423,245939.9713583867,154358745.0828547,1.262177448353619e-28
95,2.6944337135117074e-21,185206049.11013284,1.4565463061831028,2.4275488093191013,1.7654823065085998,232996.80854916014,154371689.29187354,6.310887241768094e-29
96,1.3439959306947218e-21,185206049.11013284,1.228960945841993,2.048246967330436,1.4896283555840752,220734.7013666734,154383952.28179717,3.155443620884047e-29
97,6.703913526118085e-22,185206049.11013284,1.0369357980541816,1.7282103732856384,1.2568759196246466,209117.83031944733,154395569.8976586,1.5777218104420236e-29
98,3.3439429048299206e-22,185206049.11013284,0.8749145796082157,1.4581789984101947,1.060490553133733,198112.25716164676,154406576.09925434,7.888609052210118e-30
99,1.6679741030665266e-22,185206049.11013284,0.7382091765444321,1.2303396518714298,0.8947900261694152,187685.82650367875,154417003.0601576,3.944304526105059e-30
100,8.319931552904576e-23,185206049.11013284,0.6228639927093645,1.0380999227386398,0.754979926052565,177808.0725037614,154426881.2615525,1.9721522630525295e-30
101,4.150020130273946e-23,185206049.11013284,0.5255414938485263,0.8758974409148181,0.6370149437109425,168450.1303882633,154436239.58115798,9.860761315262648e-31
102,2.0700491310732435e-23,185206049.11013284,0.4434256354346941,0.7390389390999459,0.5374818320841758,159584.65255951075,154445105.37749422,4.930380657631324e-31
103,1.0325500288053368e-23,185206049.11013284,0.3741403798980232,0.6235644598616303,0.45350065081707436,151185.72906045255,154453504.5697342,2.465190328815662e-31
104,5.150407040982345e-24,185206049.11013284,0.31568094553895704,0.5261327792552889,0.38264144037394476,143228.8121760173,154461461.71336895,1.232595164407831e-31
105,2.5690467239143824e-24,185206049.11013284,0.266355797798495,0.44392473218192874,0.32285391500079463,135690.64496115764,154469000.07190454,6.162975822039155e-32
106,1.281452323503424e-24,185206049.11013284,0.22473770439248014,0.3745616425424614,0.2724081405458795,128549.19349542263,154476141.68479723,3.0814879110195774e-32
107,6.39194313644196e-25,185206049.11013284,0.18962243808115511,0.31603649821817104,0.22984448090855508,121783.58267341803,154482907.4318233,1.5407439555097887e-32
108,3.188330639395677e-25,185206049.11013284,0.15999393213097463,0.26665587961380877,0.1939313650088203,115374.03534968912,154489317.09406927,7.703719777548943e-33
109,1.590353989251505e-25,185206049.11013284,0.13499488023550985,0.22499096160582135,0.16362965240786234,109301.81466538798,154495389.41171926,3.851859888774472e-33
110,7.932758854670012e-26,185206049.11013284,0.11390193019871143,0.18983617124116442,0.13806256660538652,103549.16939256218,154501142.1388069,1.925929944387236e-33
111,3.9568966074001335e-26,185206049.11013284,0.09610475360516277,0.16017430502442198,0.11649032611298436,98099.28214002642,154506592.09509072,9.62964972193618e-34
112,1.9737182294955805e-26,185206049.11013284,0.08108838585435608,0.13514709651912316,0.09828873931259768,92936.22027255651,154511755.21520334,4.81482486096809e-34
113,9.844997319762512e-27,185206049.11013284,0.06841832556461294,0.1140303826790855,0.08293114378607963,88044.88940258109,154516646.5952177,2.407412430484045e-34
114,4.9107299500852124e-27,185206049.11013284,0.057727962195142174,0.09621315037878489,0.06997316756281119,83410.98932064872,154521280.53676522,1.2037062152420224e-34
115,2.4494946884602744e-27,185206049.11013284,0.04870796810215121,0.08117985687707963,0.05903987137610182,79020.97223772467,154525670.58883473,6.018531076210112e-35
116,1.2218192182795517e-27,185206049.11013284,0.04109734808619008,0.06849551267377085,0.04981489990732081,74862.00321883275,154529829.58737355,3.009265538105056e-35
117,6.094490464462445e-28,185206049.11013284,0.03467588744772288,0.05779309514379534,0.04203132812210312,70921.92269371255,154533769.69280612,1.504632769052528e-35
118,3.0399598783300043e-28,185206049.11013284,0.029257780034016183,0.04876292877155321,0.035463937847000394,67189.21093602332,154537502.4255795,7.52316384526264e-36
119,1.5163459711264464e-28,185206049.11013284,0.024686251903701155,0.04114372470897994,0.0299227011163885,63652.95440820154,154541038.69983926,3.76158192263132e-36
120,7.563603455893387e-29,185206049.11013284,0.02082902504374785,0.03471502039168826,0.025247281735439234,60302.813874383595,154544388.85533443,1.88079096131566e-36
121,3.772760196375519e-29,185206049.11013284,0.01757448988066225,0.029290800456851795,0.02130239596564168,57128.99418884638,154547562.68764362,9.4039548065783e-37
122,1.8818701406490122e-29,185206049.11013284,0.014828475836808774,0.024714114386492323,0.01797389809703379,54122.21567221035,154550569.47681144,4.70197740328915e-37
123,9.386854827583743e-30,185206049.11013284,0.012511526487307403,0.020852535139370614,0.015165477645139976,51273.68699220096,154553418.0144784,2.350988701644575e-37
124,4.682206367530978e-30,185206049.11013284,0.010556600473665622,0.01759432736816974,0.01279587260741264,48575.0794700871,154556116.62958324,1.1754943508222875e-37
125,2.3355060742737424e-30,185206049.11013284,0.008907131649655368,0.01484521435013756,0.010796518145748755,46018.50273801882,154558673.21271324,5.877471754111438e-38
126,1.1649611731756844e-30,185206049.11013284,0.007515392329396717,0.01252565008286182,0.009109562660408767,43596.481676382165,154561095.23917314,2.938735877055719e-38
