time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
54,5.837483332191057e-31,165123723.010644,20383838.273799036,1775.2648264965967,2954.003453563042,2147.064896065022,2205774.757229532,152392040.6595944,3.0814879110195774e-32,4.540911852564091e-57
55,1.10264585111097e-31,165123723.010644,20383838.273799036,1497.8796973565036,2492.887719312375,1812.0333114232715,2090754.881402326,152508134.06786963,7.703719777548943e-33,3.859775074679481e-58
56,2.082794594491601e-32,165123723.010644,20383838.273799036,1263.8359946445498,2103.709492196235,1529.2385855397295,1981621.1674579154,152618173.79846975,1.925929944387236e-33,3.280808813477557e-59
57,3.9342036416068226e-33,165123723.010644,20383838.273799036,1066.3616204813388,1775.256493310387,1290.5466658189234,1878089.9358318476,152722469.64938858,4.81482486096809e-34,2.788687491455923e-60
58,7.431341686101538e-34,165123723.010644,20383838.273799036,899.7426172811297,1498.0613731829994,1089.0874562370584,1779888.370436765,152821316.48811656,1.2037062152420224e-34,2.3703843677375365e-61
59,1.4037107452077724e-34,165123723.010644,20383838.273799036,759.1578333309532,1264.130813837426,919.0590714142791,1686754.578878738,152914994.8234027,3.009265538105056e-35,2.0148267125769066e-62
60,2.651477942262978e-35,165123723.010644,20383838.273799036,640.5394218729917,1066.716521836031,775.562239166496,1598437.5516313536,153003771.38018578,7.52316384526264e-36,1.71260270569037e-63
61,5.0083931481670824e-36,165123723.010644,20383838.273799036,540.4551372053368,900.1216760446782,654.4602500422558,1514697.040559813,153087899.6723769,1.88079096131566e-36,1.4557122998368137e-64
62,9.460384914685858e-37,165123723.010644,20383838.273799036,456.0090220170029,759.5373722218426,552.2605440322975,1435303.373813265,153167620.56924847,4.70197740328915e-37,1.2373554548612921e-65
63,1.7869779804880054e-37,165123723.010644,20383838.273799036,384.7576123268462,640.9044388565386,466.0146150716094,1360037.2212530042,153243162.85208073,1.1754943508222875e-37,1.0517521366321003e-66
64,3.3754338026900755e-38,165123723.010644,20383838.273799036,324.63923540077644,540.7967060684737,393.23341724993935,1288689.322178803,153314743.75846246,2.938735877055719e-38,8.939893161372859e-68
65,6.375877867969765e-39,165123723.010644,20383838.273799036,273.91435486940514,456.3224100827266,331.81588514208806,1221060.1850885435,153382569.51226133,7.346839692639297e-39,7.598909187166918e-69
66,1.2043435292633768e-39,165123723.010644,20383838.273799036,231.11523692106059,385.0409255103895,279.98854509172565,1156959.7675001386,153446835.8377923,1.8367099231598242e-39,6.459072809091885e-70
67,2.274891970194565e-40,165123723.010644,20383838.273799036,195.00348115214487,324.89244990170783,236.25450392346022,1096207.1424305718,153507728.45713443,4.5917748078995606e-40,5.490211887728099e-71
68,4.297057567304756e-41,165123723.010644,20383838.273799036,164.53418722212223,274.1386313563035,199.35036443715705,1038630.1569230298,153565423.56989393,1.1479437019748901e-40,4.666680104568886e-72
69,8.116738719312389e-42,165123723.010644,20383838.273799036,138.82572046866562,231.31244027068422,168.2098400576544,984065.0870040363,153620088.31499514,2.8698592549372254e-41,3.966678088883556e-73
70,1.5331758163739875e-42,165123723.010644,20383838.273799036,117.13420164543662,195.17584902624216,141.93303009649824,932356.2926080632,153671881.21431115,7.174648137343063e-42,3.3716763755510276e-74
71,2.8960253190374686e-43,165123723.010644,20383838.273799036,98.83198263833715,164.68410577678108,119.76047730480965,883355.8753016344,153720952.59813264,1.793662034335766e-42,2.865924919218375e-75
72,5.470320206551082e-44,165123723.010644,20383838.273799036,83.38948535109697,138.955576619826,101.0512650966001,836923.3410507272,153767445.0126222,4.484155085839415e-43,2.436036181335621e-76
73,1.0332921803372502e-44,165123723.010644,20383838.273799036,70.35987826498807,117.24628955097839,85.26452670325655,792925.2697858688,153811493.6095196,1.1210387714598537e-43,2.0706307541352778e-77
74,1.95179201515018e-45,165123723.010644,20383838.273799036,59.36614728608368,98.92844814213818,71.94383573937287,751234.9931131221,153853226.5184557,2.802596928649634e-44,1.760036141014987e-78
75,3.6867520560937955e-46,165123723.010644,20383838.273799036,50.0901867726331,83.47229662005421,60.70402990522098,711732.2811829327,153892765.20230377,7.006492321624085e-45,1.4960307198627385e-79
76,6.963928849799088e-47,165123723.010644,20383838.273799036,42.26359508940918,70.43081414826457,51.22008910762404,674303.0394514152,153930224.79605025,1.7516230804060213e-45,1.271626111883327e-80
77,1.3154208443419731e-47,165123723.010644,20383838.273799036,35.659908356688995,59.426797343918615,43.21774809087816,638839.0158406313,153965714.4297056,4.379057701015053e-46,1.0808821951008278e-81
78,2.484706600325575e-48,165123723.010644,20383838.273799036,30.08804767595634,50.141958688671615,36.465573381418736,605237.5186178015,153999337.53580245,1.0947644252537633e-46,9.187498658357044e-83
79,4.69337772489826e-49,165123723.010644,20383838.273799036,25.38679022658816,42.30772646587189,30.768276362877273,573401.14516145,154031192.1420455,2.7369110631344083e-47,7.809373859603486e-84
80,8.865350325742616e-50,165123723.010644,20383838.273799036,21.42010425368376,35.697480822308314,25.96106979790661,543237.5216595551,154061371.14968556,6.842277657836021e-48,6.637967780662969e-85
81,1.67458152752554e-50,165123723.010644,20383838.273799036,18.073212964045673,30.120001906369325,21.904905104530386,514659.05368605646,154089962.59819397,1.7105694144590052e-48,5.642272613563521e-86
82,3.1631274448196974e-51,165123723.010644,20383838.273799036,15.249273438413537,25.41394095540913,18.482453028857524,487582.68752355315,154117049.91680902,4.276423536147513e-49,4.795931721528992e-87
83,5.974851070378232e-52,165123723.010644,20383838.273799036,12.866574463661422,21.443154691308962,15.594711753281045,461929.6820383016,154142712.16352078,1.0691058840368783e-49,4.0765419632996436e-88
84,1.1285933284687743e-52,165123723.010644,20383838.273799036,10.856172203714324,18.092768278428817,13.158144549467764,437625.3908658466,154167024.25204912,2.6727647100921956e-50,3.4650606688046966e-89
85,2.131806945580645e-53,165123723.010644,20383838.273799036,9.159895296883962,15.265853115651975,11.102264344341087,414599.0546293926,154190057.16735783,6.681911775230489e-51,2.9453015684839927e-90
86,4.026783375896606e-54,165123723.010644,20383838.273799036,7.728661656745842,12.880623476877101,9.367595451083538,392783.60288633354,154211878.17023307,1.6704779438076223e-51,2.5035063332113936e-91
87,7.606216121029076e-55,165123723.010644,20383838.273799036,6.521058272879305,10.868070991524364,7.903953594761044,372115.4654795152,154232550.9914376,4.176194859519056e-52,2.1279803832296858e-92
88,1.436742885800772e-55,165123723.010644,20383838.273799036,5.502142917741914,9.169968598780665,6.668994545261613,352534.39295739075,154252136.01593652,1.044048714879764e-52,1.8087833257452325e-93
89,2.7138725577256564e-56,165123723.010644,20383838.273799036,4.64243308684474,7.737186279982673,5.626989422325973,333983.28572006384,154270690.45767114,2.61012178719941e-53,1.537465826883448e-94
90,5.126250724722705e-57,165123723.010644,20383838.273799036,3.9170529170252495,6.528269879806495,4.747791281158655,316408.03154529794,154288268.52534062,6.525304467998525e-54,1.3068459528509309e-95
