time, Susceptible, Socially_distanced, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD
166,2.1368220559877146e-13,185206049.11013278,8.621292451483318e-06,1.4368820665803575e-05,1.0450051369907565e-05,5027.0934565838625,154599664.65650994,4.5510303494412515e-21
167,1.6013393634479221e-13,185206049.11013278,7.274215506066767e-06,1.212369244489695e-05,8.817230851404677e-06,4762.509595672896,154599929.24037609,3.4132727620809386e-21
168,1.2000474020484087e-13,185206049.11013278,6.137619333339547e-06,1.0229365506495645e-05,7.439538536926576e-06,4511.851200309254,154600179.89877585,2.559954571560704e-21
169,8.993182832041022e-14,185206049.11013278,5.178616312576969e-06,8.631027150706038e-06,6.2771106450871995e-06,4274.385351381167,154600417.3646285,1.919965928670528e-21
170,6.739511898652056e-14,185206049.11013278,4.3694575137905695e-06,7.282429161869679e-06,5.29631211022011e-06,4049.41770444703,154600642.33227858,1.439974446502896e-21
171,5.050605717727218e-14,185206049.11013278,3.686729777301075e-06,6.1445496079320355e-06,4.468763345577475e-06,3836.2904594927104,154600855.45952618,1.079980834877172e-21
172,3.784935541257928e-14,185206049.11013278,3.11067824962797e-06,5.18446373365232e-06,3.7705190747717462e-06,3634.380437543265,154601057.36955038,8.09985626157879e-22
173,2.836439399970436e-14,185206049.11013278,2.624634773146222e-06,4.37439127674361e-06,3.181375470798953e-06,3443.097258505195,154601248.6527313,6.074892196184093e-22
174,2.1256342101484647e-14,185206049.11013278,2.214535589859078e-06,3.690892640861805e-06,2.684285554585379e-06,3261.8816149113986,154601429.8683765,4.556169147138069e-22
175,1.5929551660439427e-14,185206049.11013278,1.8685144039563021e-06,3.114190666561835e-06,2.2648659375081407e-06,3090.2036365213626,154601601.54635623,3.417126860353552e-22
176,1.1937642652302126e-14,185206049.11013278,1.576559028347651e-06,2.6275983755395483e-06,1.910980635394529e-06,2927.5613409947764,154601764.1886529,2.5628451452651636e-22
