time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
69,150919564.22279215,2941917.4968104023,1861027.220758773,936139.5882747825,9787505.055888899,39693435.41547493
70,150468692.02467656,2933115.0860493686,1855445.024445705,933326.5993270845,9740443.004979506,40208567.26052171
71,150019166.80725285,2924341.071277876,1849883.0005294927,930524.5557749686,9694451.409644127,40721222.15552063
72,149570984.5464162,2915595.039727376,1844340.5427842876,927733.0280198575,9649479.4028135,41231456.440238744
73,149124141.23008376,2906876.631102392,1838817.1320456183,924951.6497060007,9605478.579833245,41739323.77722893
74,148678632.8581589,2898185.5294175185,1833312.3226439625,922180.1078644049,9562402.900484495,42244875.28143068
75,148234455.44249514,2889521.456109781,1827825.7309544592,919418.1345931931,9520208.591233304,42748159.64461407
76,147791605.00686067,2880884.164227082,1822357.0257329976,916665.5000352113,9478854.04846499,43249223.25467898
77,147350077.58690268,2872273.4335245965,1816905.9199602297,913922.006450855,9438299.743300227,43748110.30986135
78,146909869.2301118,2863689.06632725,1811472.1639583905,911187.483215485,9398508.128457222,44244862.92792978
79,146470975.99578685,2855130.8840385764,1806055.5395824257,908461.7825973402,9359443.547514584,44739521.25048016
80,146033393.95499945,2846598.724194962,1800655.8553178469,905744.7761942765,9321072.146838803,45232123.542454615
81,145597119.19055888,2838092.43798006,1795272.942143848,903036.3519266,9283361.790365478,45722706.28702508
82,145162147.79697707,2829611.8881274704,1789906.6500422703,900336.411499262,9246281.977362175,46211304.275991686
83,144728475.8804336,2821156.947151022,1784556.84505162,897644.8682601985,9209803.763250638,46697950.69585285
84,144296099.5587408,2812727.49585147,1779223.406781062,894961.6453930042,9173899.683525441,47182677.20970815
85,143865014.96130905,2804323.422056416,1773906.2263125887,892286.6743917676,9138543.680773236,47665514.03515685
86,143435218.22911215,2795944.619557012,1768605.2044307566,889619.893774031,9103711.034770528,48146490.018355444
87,143006705.51465267,2787590.987210701,1763320.2501288506,886961.2479947046,9069378.29561699,48625632.704395995
88,142579472.98192763,2779262.428184054,1758051.27934831,884310.6865295649,9035523.219845027,49102968.40416531
89,142153516.80639413,2770958.8493138044,1752798.213914991,881668.16310186,9002124.709433755,49578522.25784136
90,141728833.174935,2762680.160567625,1747560.9806415252,879033.6350296778,8969162.753646066,50052318.295179985
91,141305418.2858249,2754426.274589052,1742339.5105698353,876407.0626752202,8936618.373600585,50524379.4927403
92,140883268.348696,2746197.1063134144,1737133.7383319158,873788.408980069,8904473.569485534,50994727.828192964
93,140462379.58450428,2737992.5726436726,1731943.601610408,871177.6390730134,8872711.270318436,51463384.3318501
94,140042748.22549558,2729812.5921768053,1726769.0406833799,868574.7199391087,8841315.286153972,51930369.135551065
95,139624370.51517192,2721657.0849728473,1721609.9980401606,865979.6201403993,8810270.26264174,52395701.51903285
96,139207242.70825785,2713525.972359916,1716466.4180571279,863392.3095802398,8779561.637836058,52859399.953908734
97,138791361.07066694,2705419.1767696,1711338.2467240829,860812.7593044019,8749175.601161122,53321482.14537379
98,138376721.87946832,2697336.621597967,1706225.431413312,858240.9413332217,8719099.054436423,53781965.07175069
99,137963321.4228534,2689278.2310881964,1701127.9206846664,855676.8285199389,8689319.574869538,54240865.02198419
100,137551156.00010264,2681243.9302314403,1696045.6641210304,853120.3944311361,8659825.379925847,54698197.63118785
101,137140221.92155233,2673233.6446830845,1690978.6121894354,850571.6132458256,8630605.293987423,55153977.91434184
102,136730515.5085617,2665247.30069199,1685926.7161238086,848030.4596702717,8601648.716716262,55608220.298235916
103,136322033.09347987,2657284.825040695,1680889.92782598,845496.908866088,8572945.593040016,56060938.6517473
104,135914771.0196131,2649346.1449948573,1675868.1997820935,842970.9363895389,8544486.38468148,56512146.31453888
105,135508725.641192,2641431.188260505,1670861.4849920166,840452.5181402928,8516262.043156171,56961856.12425896
106,135103893.32333893,2633539.882947862,1665869.7369097164,837941.6303181506,8488263.984165467,57410080.44231981
107,134700270.44203544,2625672.157540734,1660892.9093928908,835438.2493865044,8460484.063315833,57856831.17832852
108,134297853.38408986,2617827.940870575,1655930.9566604078,832942.3520414749,8432914.553097725,58302119.81323988
109,133896638.5471049,2610007.162094516,1650983.8332563331,830453.9151858394,8405548.121060688,58745957.421297655
110,133496622.33944541,2602209.750676724,1646051.4940195181,827972.915907003,8378377.809124098,59188354.69082716
111,133097801.18020631,2594435.6363725793,1641133.894057877,825499.331458381,8351397.013965805,59629321.943938956
