time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
90,1.4775238338387991e-54,177928420.52962685,7583611.396777609,3.303765699874245,5.506162489682163,4.004450807921142,299679.06896485965,154304999.86665618,1.631326116999631e-54,1.0729563717228411e-23
91,3.027731652775633e-55,177928420.52962685,7583611.396777609,2.7875523092688943,4.645835257866973,3.3787660263811117,283908.48861316574,154320772.4492333,4.078315292499078e-55,5.9012600444756264e-24
92,6.204406826658082e-56,177928420.52962685,7583611.396777609,2.3519972609456294,3.9199314917234944,2.850841827657299,268967.62596390705,154335715.00126556,1.0195788231247695e-55,3.2456930244615947e-24
93,1.2714027689802667e-56,177928420.52962685,7583611.396777609,1.984497688922875,3.3074481908153754,2.405403786759523,254812.86054461525,154349871.19210577,2.5489470578119236e-56,1.785131163453877e-24
94,2.605349787872271e-57,177928420.52962685,7583611.396777609,1.6744199250286758,2.790663907005731,2.0295639410836053,241402.86005994995,154363282.39529234,6.372367644529809e-57,9.818221398996326e-25
95,5.33886482142107e-58,177928420.52962685,7583611.396777609,1.4127918117429452,2.3546260435400286,1.7124479472932355,228698.4611545547,154375987.80897972,1.5930919111324523e-57,5.40002176944798e-25
96,1.0940364980583114e-58,177928420.52962685,7583611.396777609,1.19204309115811,1.9867182532398566,1.444880484531625,216662.55626513076,154388024.57009313,3.982729777831131e-58,2.970011973196389e-25
97,2.241892048439437e-59,177928420.52962685,7583611.396777609,1.0057863581646553,1.676295422923347,1.2191198055757766,205259.98627036615,154399427.86252815,9.956824444577827e-59,1.633506585258014e-25
98,4.594069727816422e-60,177928420.52962685,7583611.396777609,0.8486322397014279,1.4143756856557377,1.028633758518725,194457.4386581444,154410231.01970026,2.4892061111444567e-59,8.984286218919077e-26
99,9.414136010130638e-61,177928420.52962685,7583611.396777609,0.7160334522480798,1.1933805516951514,0.867910800673297,184223.3509403845,154420465.6217349,6.223015277861142e-60,4.9413574204054926e-26
100,1.9291382601491907e-61,177928420.52962685,7583611.396777609,0.6041532253343174,1.006915640685126,0.7323005382604364,174527.8190568172,154430161.58757386,1.5557538194652854e-60,2.717746581223021e-26
101,3.953176821289417e-62,177928420.52962685,7583611.396777609,0.5097542838758302,0.8495856719723316,0.6178791793014997,165342.51051988543,154439347.26226106,3.8893845486632136e-61,1.4947606196726619e-26
102,8.100822685032089e-63,177928420.52962685,7583611.396777609,0.43010517702023177,0.7168383608348472,0.5213360076438327,156640.58206369163,154448049.49965686,9.723461371658034e-62,8.221183408199641e-27
103,1.6600149990995342e-63,177928420.52962685,7583611.396777609,0.36290124311082056,0.6048327045355466,0.43987759403062815,148396.60157044852,154456293.7408181,2.4308653429145085e-62,4.5216508745098025e-27
104,3.4016912903513464e-64,177928420.52962685,7583611.396777609,0.30619792387475486,0.5103278476377257,0.37114697314920075,140586.4740581693,154464104.0882692,6.077163357286271e-63,2.4869079809803915e-27
105,6.970722337526534e-65,177928420.52962685,7583611.396777609,0.25835449826932444,0.4305893113337247,0.31315544848403176,133187.37152333115,154471503.37637752,1.5192908393215678e-63,1.3677993895392153e-27
106,1.428435615092886e-65,177928420.52962685,7583611.396777609,0.2179866079147425,0.36330987385487545,0.26422505207544705,126177.6664419327,154478513.23803663,3.7982270983039195e-64,7.5228966424656845e-28
107,2.927140413384777e-66,177928420.52962685,7583611.396777609,0.18392620042806399,0.30654281287783514,0.2229399945014424,119536.86874172544,154485154.16784936,9.495567745759799e-65,4.137593153356127e-28
108,5.998275952474933e-67,177928420.52962685,7583611.396777609,0.155187731611179,0.2586455784752614,0.18810570047018,113245.56606742136,154491445.58199367,2.3738919364399497e-65,2.2756762343458696e-28
109,1.2291625723698936e-67,177928420.52962685,7583611.396777609,0.13093964854693227,0.21823226692069275,0.15871424485390534,107285.36716935468,154497405.8749446,5.934729841099874e-66,1.2516219288902285e-28
110,2.51879146822445e-68,177928420.52962685,7583611.396777609,0.1104803284614741,0.18413352027597774,0.13391518915712586,101638.8482544058,154503052.47321668,1.4836824602749686e-66,6.883920608896257e-29
111,5.161490109618366e-69,177928420.52962685,7583611.396777609,0.09321777713936877,0.15536269152908863,0.11299097464755736,96289.50214597903,154508401.8862827,3.7092061506874214e-67,3.7861563348929413e-29
112,1.057688994415565e-69,177928420.52962685,7583611.396777609,0.0786524994613424,0.13108729632484284,0.09533616020605085,91221.69010746745,154513469.7548167,9.273015376718553e-68,2.0823859841911178e-29
113,2.1674089945907585e-70,177928420.52962685,7583611.396777609,0.06636304642050765,0.11060492528446689,0.08043990418423613,86420.59619094401,154518270.89640132,2.3182538441796384e-68,1.1453122913051147e-29
114,4.441439567430365e-71,177928420.52962685,7583611.396777609,0.05599382041730333,0.09332291996655448,0.06787118341323478,81872.18397979379,154522819.34883243,5.795634610449096e-69,6.299217602178131e-30
115,9.10136733785249e-72,177928420.52962685,7583611.396777609,0.04724478597709968,0.0787412244151195,0.05726632169825601,77563.1556006595,154527128.41114715,1.448908652612274e-69,3.464569681197972e-30
116,1.8650459194799529e-72,177928420.52962685,7583611.396777609,0.03986278816817786,0.06643791612026145,0.04831846695290788,73480.91288641722,154531210.68249455,3.622271631530685e-70,1.9055133246588848e-30
117,3.821839238706705e-73,177928420.52962685,7583611.396777609,0.03363422751690007,0.05605699774147388,0.040768712506519304,69613.52057794452,154535078.09896225,9.055679078826712e-71,1.0480323285623866e-30
118,7.83168661637623e-74,177928420.52962685,7583611.396777609,0.028378879467384432,0.047298096355621044,0.034398605688628126,65949.67145819843,154538741.96846634,2.263919769706678e-71,5.764177807093126e-31
119,1.6048638214798949e-74,177928420.52962685,7583611.396777609,0.023944679550605613,0.0399077721834946,0.029023826933219324,62478.653317596094,154542213.00380623,5.659799424266695e-72,3.1702977939012193e-31
120,3.2886758774405503e-75,177928420.52962685,7583611.396777609,0.020203323370823485,0.033672185317403076,0.024488856512483313,59190.31765489924,154545501.35398084,1.4149498560666738e-72,1.7436637866456707e-31
121,6.739131932631004e-76,177928420.52962685,7583611.396777609,0.017046554094132315,0.028410908264743476,0.020662474585592425,56075.05002275385,154548616.6338574,3.5373746401666845e-73,9.590150826551189e-32
122,1.3809782690032775e-76,177928420.52962685,7583611.396777609,0.01438303001692414,0.02397170527576578,0.017433964358982083,53123.741931740944,154551567.95227966,8.843436600416711e-74,5.274582954603154e-32
123,2.8298911469963513e-77,177928420.52962685,7583611.396777609,0.012135681576779744,0.020226127396968732,0.014709908498432487,50327.76423126308,154554363.93869713,2.210859150104178e-74,2.901020625031735e-32
124,5.798993426325463e-78,177928420.52962685,7583611.396777609,0.01023948133040791,0.017065795794098386,0.012411486098458427,47678.94188983506,154557012.76839352,5.527147875260445e-75,1.5955613437674545e-32
125,1.1883257345166462e-78,177928420.52962685,7583611.396777609,0.008639562372531674,0.014399265803450025,0.010472191997753809,45169.530101376266,154559522.18638772,1.3817869688151111e-75,8.775587390721e-33
126,2.4351089016655722e-79,177928420.52962685,7583611.396777609,0.0072896307518236,0.012149380973295593,0.00883591244973941,42792.19164792614,154561899.53007728,3.454467422037778e-76,4.8265730648965506e-33
127,4.990008371217215e-80,177928420.52962685,7583611.396777609,0.006150625946851162,0.010251040534944132,0.007455301468193603,40539.97545283362,154564151.75069034,8.636168555094445e-77,2.6546151856931027e-33
128,1.0225490748190596e-80,177928420.52962685,7583611.396777609,0.005189590642655668,0.008649315705403593,0.006290410867832835,38406.29626191416,154566285.43360892,2.159042138773611e-77,1.4600383521312064e-33
129,2.0954005136433464e-81,177928420.52962685,7583611.396777609,0.00437871710474072,0.007297860316967643,0.005307534360267315,36384.91539333464,154568306.8176227,5.397605346934028e-78,8.030210936721636e-34
130,4.293880284771404e-82,177928420.52962685,7583611.396777609,0.0036945425571249827,0.00615756978534147,0.004478232259375568,34469.922500084205,154570221.81316972,1.349401336733507e-78,4.4166160151969e-34
